img_src,x,y
0.png,0.7704578,0.79561484
1.png,0.6429978,0.631152
2.png,0.7082145,0.6675494
3.png,0.72775364,0.6461369
4.png,0.65020216,0.61578697
5.png,0.95228636,0.8762333
6.png,0.6960064,0.7315212
7.png,0.97631764,0.92814
8.png,0.7535607,0.6372756
9.png,0.9594521,0.8552608
10.png,0.9804181,0.9414083
11.png,0.72161734,0.7304975
12.png,0.8507341,0.7371474
13.png,0.85605514,0.72579646
14.png,0.9073863,0.7944775
15.png,0.7227996,0.7798364
16.png,0.8831027,0.85566646
17.png,0.75346214,0.8014608
18.png,0.85013324,0.7778571
19.png,0.86847794,0.87572014
20.png,0.9611634,0.86323905
21.png,0.6189697,0.6237095
22.png,0.89759856,0.76505524
23.png,0.9219483,0.92830056
24.png,0.7169292,0.68958247
25.png,0.62316996,0.6911871
26.png,0.9390318,0.8302191
27.png,0.84802836,0.7593941
28.png,0.9505575,0.8449874
29.png,0.82403576,0.8336925
30.png,0.9067622,0.84695786
31.png,0.56078357,0.5613802
32.png,0.8213641,0.76485866
33.png,0.76300687,0.8060524
34.png,0.8485163,0.7922205
35.png,0.6645866,0.60670245
36.png,0.6840642,0.6773277
37.png,0.9489707,0.8997611
38.png,0.8587237,0.8045002
39.png,0.6353818,0.59983104
40.png,0.73390514,0.78481925
41.png,0.8336908,0.69591427
42.png,0.9808868,0.918576
43.png,0.8601871,0.7858055
44.png,0.8848703,0.84534734
45.png,0.56490344,0.6049246
46.png,0.85865414,0.84128755
47.png,0.8356197,0.76970977
48.png,0.9567191,0.91049194
49.png,0.6319673,0.70604473
50.png,0.7034838,0.76551837
51.png,0.6729786,0.70564413
52.png,0.5303574,0.56052005
53.png,0.9320186,0.85006654
54.png,0.9668373,0.9393004
55.png,0.8509733,0.86131
56.png,0.82810265,0.73034656
57.png,0.722984,0.76674825
58.png,0.65776235,0.6832074
59.png,0.7480188,0.76997733
60.png,0.8282823,0.8482575
61.png,0.8823063,0.8824543
62.png,0.57057214,0.5787579
63.png,0.839949,0.8338468
64.png,0.85053396,0.70034444
65.png,0.9147593,0.91437596
66.png,0.8050918,0.7150657
67.png,0.9614378,0.95052826
68.png,0.6675392,0.64695436
69.png,0.90154904,0.8857705
70.png,0.5356597,0.6252942
71.png,0.60016066,0.623326
72.png,0.91926634,0.8977691
73.png,0.73698956,0.73094785
74.png,0.72637486,0.7087351
75.png,0.80553675,0.83623236
76.png,0.8011538,0.7679594
77.png,0.8671334,0.8273207
78.png,0.7887957,0.8110547
79.png,0.82266885,0.8025849
80.png,0.8032759,0.69497764
81.png,0.62231916,0.6643961
82.png,0.66752136,0.65984136
83.png,0.5818166,0.6276868
84.png,0.7670795,0.7293509
85.png,0.97103333,0.90579677
86.png,0.8795118,0.82464445
87.png,0.8086574,0.736876
88.png,0.60743916,0.5885485
89.png,0.8161696,0.67537606
90.png,0.89998263,0.82111436
91.png,0.676216,0.73663104
92.png,0.91082466,0.8079318
93.png,0.96103173,0.88405704
94.png,0.57185674,0.641545
95.png,0.8384313,0.8564731
96.png,0.8170066,0.8216004
97.png,0.8079159,0.7935653
98.png,0.7363086,0.74624366
99.png,0.7011758,0.747561
100.png,0.94100463,0.94581956
101.png,0.93593866,0.93556523
102.png,0.9755045,0.9572187
103.png,0.7482784,0.71249634
104.png,0.54004467,0.60344017
105.png,0.98342866,0.96594846
106.png,0.6393901,0.6742041
107.png,0.8632864,0.7320258
108.png,0.7432061,0.791291
109.png,0.6818649,0.7223484
110.png,0.9923783,0.9766538
111.png,0.8553443,0.8775557
112.png,0.68610626,0.6550374
113.png,0.92632914,0.88879293
114.png,0.65034056,0.71339107
115.png,0.93784183,0.8395738
116.png,0.91737986,0.8362792
117.png,0.77535915,0.80589956
118.png,0.6553116,0.7022026
119.png,0.6192878,0.57895184
120.png,0.9491899,0.8862687
121.png,0.8392882,0.8046345
122.png,0.7133053,0.7193098
123.png,0.87365645,0.8068282
124.png,0.94270474,0.86640924
125.png,0.8687152,0.7569842
126.png,0.9315301,0.82015306
127.png,0.79124326,0.7373485
128.png,0.9134383,0.8669718
129.png,0.8374238,0.81967694
130.png,0.7300501,0.67748046
131.png,0.86328137,0.85769886
132.png,0.5760834,0.5647511
133.png,0.9024649,0.78213996
134.png,0.8594331,0.7708133
135.png,0.74592644,0.687808
136.png,0.74229336,0.7584066
137.png,0.9587379,0.92908376
138.png,0.59862477,0.65553457
139.png,0.9320582,0.9204419
140.png,0.7556465,0.7834417
141.png,0.58682024,0.58744895
142.png,0.7763472,0.81632423
143.png,0.60167223,0.6738185
144.png,0.70430136,0.70717365
145.png,0.88464844,0.7795875
146.png,0.902098,0.9037778
147.png,0.8860538,0.8085314
148.png,0.71555275,0.7497728
149.png,0.5262216,0.5769281
